1,Whooshy Juice,12.000000,9.000000,1,0,349
1,Whooshy Juice,12.000000,9.000000,1,0,349
1,Whooshy Juice,12.000000,9.000000,1,0,349
1,Whooshy Juice,12.000000,9.000000,1,0,344
0,Condom,60.000000,35.000000,1,0,349
0,Condom,60.000000,35.000000,2,0,349
1,Whooshy Juice,12.000000,9.000000,1,0,349
1,Whooshy Juice,12.000000,9.000000,1,0,349
1,Whooshy Juice,12.000000,9.000000,12,1,349
1,Whooshy Juice,12.000000,9.000000,1,0,349
1,Whooshy Juice,12.000000,9.000000,1,1,349
1,Whooshy Juice,12.000000,9.000000,1,0,349
1,Whooshy Juice,12.000000,9.000000,1,1,349
1,Whooshy Juice,12.000000,9.000000,1,0,349
1,Whooshy Juice,12.000000,9.000000,1,1,349
1,Whooshy Juice,12.000000,9.000000,1,0,349
1,Whooshy Juice,12.000000,9.000000,1,0,349
1,Whooshy Juice,12.000000,9.000000,1,0,349
1,Whooshy Juice,12.000000,9.000000,1,0,349
1,Whooshy Juice,12.000000,9.000000,1,0,349
1,Whooshy Juice,12.000000,9.000000,1,1,349
2,iPhone,30000.000000,25000.000000,1,0,349
